fold_id,held_out_episode_id,attack_type,target,train_sequences,validation_sequences,test_sequences,f1,pr_auc,precision,recall,fpr,roc_auc,temperature
0,02-03-2018_Botnet_0,Botnet,future_attack_label,2120,538,20,0.9523809523809523,0.9999999999999999,0.9090909090909091,1.0,0.1,1.0,1.9911309562166135
1,02-03-2018_Botnet_1,Botnet,future_attack_label,2124,539,24,0.96,1.0,0.9230769230769231,1.0,0.08333333333333333,1.0,1.8960355496983325
2,02-03-2018_Botnet_2,Botnet,future_attack_label,2109,535,12,0.2857142857142857,0.9242424242424242,1.0,0.16666666666666666,0.0,0.8611111111111112,5.943000419295109
3,02-03-2018_Botnet_3,Botnet,future_attack_label,2108,535,6,1.0,1.0,1.0,1.0,0.0,1.0,5.96446162132216
4,02-03-2018_Botnet_4,Botnet,future_attack_label,2105,534,6,1.0,1.0,1.0,1.0,0.0,1.0,6.078247098839003
5,02-03-2018_Botnet_5,Botnet,future_attack_label,2091,530,9,1.0,1.0,1.0,1.0,0.0,1.0,4.326920418244254
6,02-03-2018_Botnet_6,Botnet,future_attack_label,2087,529,9,1.0,1.0,1.0,1.0,0.0,1.0,4.2150950731595955
7,02-03-2018_Botnet_7,Botnet,future_attack_label,2083,529,8,1.0,1.0,1.0,1.0,0.0,1.0,3.801756945776246
8,02-03-2018_Botnet_8,Botnet,future_attack_label,2077,527,14,1.0,0.9999999999999998,1.0,1.0,0.0,1.0,2.112565609348488
9,02-03-2018_Botnet_9,Botnet,future_attack_label,2080,528,10,1.0,1.0,1.0,1.0,0.0,1.0,9.999995047842848
10,14-02-2018_SSH-Bruteforce_0,SSH-Bruteforce,future_attack_label,2148,541,12,0.2857142857142857,0.711111111111111,1.0,0.16666666666666666,0.0,0.5833333333333333,9.999993059745263
11,14-02-2018_SSH-Bruteforce_1,SSH-Bruteforce,future_attack_label,2144,540,9,1.0,1.0,1.0,1.0,0.0,1.0,5.90564311404919
12,14-02-2018_SSH-Bruteforce_2,SSH-Bruteforce,future_attack_label,2136,537,20,1.0,0.9999999999999999,1.0,1.0,0.0,1.0,3.056318207982731
13,14-02-2018_SSH-Bruteforce_3,SSH-Bruteforce,future_attack_label,2133,538,6,1.0,1.0,1.0,1.0,0.0,1.0,3.0988910497119897
14,14-02-2018_SSH-Bruteforce_4,SSH-Bruteforce,future_attack_label,2127,535,16,1.0,1.0,1.0,1.0,0.0,1.0,3.042654936516916
15,14-02-2018_SSH-Bruteforce_5,SSH-Bruteforce,future_attack_label,2117,532,24,1.0,1.0,1.0,1.0,0.0,1.0,6.85865577037189
16,14-02-2018_SSH-Bruteforce_6,SSH-Bruteforce,future_attack_label,2049,518,66,1.0,1.0,1.0,1.0,0.0,1.0,2.996642877463477
17,14-02-2018_SSH-Bruteforce_7,SSH-Bruteforce,future_attack_label,2127,540,12,1.0,1.0,1.0,1.0,0.0,1.0,3.4538875302087084
18,14-02-2018_SSH-Bruteforce_8,SSH-Bruteforce,future_attack_label,2132,541,14,1.0,0.9999999999999998,1.0,1.0,0.0,1.0,3.1644654408911816
19,21-02-2018_DDOS-LOIC-UDP_0,DDOS-LOIC-UDP,future_attack_label,2135,541,12,0.2857142857142857,0.5146464646464646,1.0,0.16666666666666666,0.0,0.25,2.572523330459923
20,21-02-2018_DDOS-LOIC-UDP_1,DDOS-LOIC-UDP,future_attack_label,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,2.6812136038307792
21,21-02-2018_DDOS-LOIC-UDP_10,DDOS-LOIC-UDP,future_attack_label,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,2.6693685914259224
22,21-02-2018_DDOS-LOIC-UDP_11,DDOS-LOIC-UDP,future_attack_label,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,2.5857044590179354
23,21-02-2018_DDOS-LOIC-UDP_12,DDOS-LOIC-UDP,future_attack_label,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,2.561335898324755
24,21-02-2018_DDOS-LOIC-UDP_13,DDOS-LOIC-UDP,future_attack_label,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,2.7116299478159096
25,21-02-2018_DDOS-LOIC-UDP_14,DDOS-LOIC-UDP,future_attack_label,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0,2.634864315620521
